place,r_deaths,r_adm,R_deaths,R_adm,peak_deaths,sero,attack_at_peak,textbook_deaths,lam_deaths,textbook_adm,lam_adm,code,pop,deaths,adm_peak
Castellón/Castelló,0.22556348893535297,0.22513194815720194,3.127813325609581,3.1215319639359014,2020-04-04,0.027000000000000003,0.009947368421052632,0.6802878254234979,114.06564855743623,0.6796444785594595,113.86456703359192,CS,585590,228,2020-03-26
Ciudad Real,0.21730678070092177,0.21018536692848339,3.0094861094761423,2.910521091327284,2020-03-28,0.091,0.026822784810126583,0.6677173565110527,40.52249329142475,0.6564189131012377,39.29269068851776,CR,495045,1107,2020-03-27
Córdoba,,0.20054541028691264,,2.780993893076552,2020-04-01,0.027000000000000003,0.00686842105263158,,,0.6404163265192495,148.40263830489494,CO,781451,116,2020-03-25
"Coruña, A",0.16593282197131645,0.22983100324547198,2.3556528615934003,3.1905134342214003,2020-04-08,0.016,0.007128712871287129,0.5754892342993252,119.76359296795462,0.6865708229672332,162.1669498269832,C,1121815,303,2020-03-26
Cuenca,0.3335286176712618,0.2164159135894059,5.081550171447369,2.9969507449391593,2020-03-24,0.114,0.018387096774193548,0.803209657238281,87.5953924737719,0.6663275158296601,59.14328725831608,CU,196139,312,2020-04-04
Girona,0.25542072631721535,0.1862437126061727,3.589478379755737,2.597913088024666,2020-04-04,0.027000000000000003,0.009539256198347109,0.7214079890716462,133.3334079728996,0.6150756526037774,99.60394875573337,GI,781788,490,2020-03-24
Granada,,0.22404479536030616,,3.1057554811461863,2020-03-31,0.035,0.01174825174825175,,,0.6780171503936467,95.89401174087061,GR,919168,289,2020-03-25
Guadalajara,0.308122883190999,0.19232193570768077,4.547023220971484,2.6744228137664687,2020-03-25,0.098,0.020891472868217055,0.7800758977020691,71.73248824715515,0.6260875450012818,46.59420676628198,GU,261995,268,2020-03-24
Gipuzkoa,0.13722047094682582,0.20258223538320277,2.046248331291625,2.8079432995990374,2020-04-12,0.025,0.01519607843137255,0.5113007621275449,46.759030374629205,0.643867452685816,67.42447828259127,SS,727121,307,2020-03-28
Huelva,,,,,2020-04-07,0.012,0.0055000000000000005,,,,,H,524278,49,2020-03-27
Huesca,0.2109079395087589,0.27735727793264897,2.920434106746887,3.9646786879958085,2020-04-04,0.05,0.020792079207920793,0.6575851522587803,51.00747613166118,0.7477727506575036,65.55645024499829,HU,222687,110,2020-03-25
Jaén,0.20764335430530775,0.22310355108395385,2.8758751486803646,3.0921514476530794,2020-04-01,0.044000000000000004,0.016795698924731182,0.6522797589252566,62.36482692888605,0.6766005750594808,66.64565114883321,J,631381,187,2020-03-24
León,0.29698315451218227,0.2377105578714284,4.328259812622142,3.309107492768777,2020-04-01,0.064,0.021974937343358397,0.7689602650275791,65.9390955028076,0.697803712274307,53.85596029215798,LE,456439,400,2020-03-25
Lleida,0.3396817881479121,,5.218793097775144,,2020-03-29,0.028999999999999998,0.004481818181818181,0.8083848159402379,367.83304247412036,,,L,438517,142,2020-04-06
"Rioja, La",,0.1877068800724506,,2.6161576825747774,2020-04-05,0.037000000000000005,0.016983606557377053,,,0.6177600430353964,56.14336187673824,LO,319914,369,2020-03-26
Lugo,,0.251208468480472,,3.521019721575815,2020-03-30,0.015,0.004838709677419355,,,0.7159913664009656,259.51191508605615,LU,327946,31,2020-03-27
Madrid,0.206015987756947,0.1736732996189359,2.8538806922862894,2.4455961644002686,2020-03-26,0.11699999999999999,0.03533620096352374,0.6495999280198066,29.149722279479597,0.591101746659294,24.85818442873895,M,6779888,8756,2020-03-23
Málaga,,0.15087855058264135,,2.18879240566496,2020-03-27,0.036000000000000004,0.011833910034602078,,,0.5431270697888786,65.8029116035119,MA,1685920,292,2020-03-25
Murcia,,0.21864045785471797,,3.0283359447804643,2020-04-03,0.016,0.007292517006802722,,,0.6697856452407251,151.3837051394774,MU,1511251,148,2020-03-27
Navarra,0.263136093142317,0.20483020979934577,3.71782180689903,2.8379451071405732,2020-04-08,0.066,0.0335,0.7310253013890189,38.537850528471864,0.6476323669954387,30.61222159081786,NA,661197,529,2020-03-25
Ourense,,0.20106725968676645,,2.787877385219631,2020-04-02,0.025,0.006060606060606061,,,0.6413041673562629,168.65812490515935,OR,306650,132,2020-03-31
Asturias,,0.22310529197737614,,3.0921765621458883,2020-04-11,0.019,0.008482142857142858,,,0.6766032016923295,132.52320944432074,O,1018784,339,2020-03-28
Palencia,,0.2244127901104602,,3.111088083193098,2020-04-02,0.066,0.020263157894736844,,,0.6785690493939216,55.44220895281745,P,160321,114,2020-03-28
"Palmas, Las",,0.23858096107954663,,3.322435764198978,2020-03-29,0.022000000000000002,0.007652173913043479,,,0.6990160018214544,156.30830327294703,GC,1131065,46,2020-03-25
Pontevedra,0.27320034421246975,0.24825442727203423,3.891114560461361,3.47367801687001,2020-04-02,0.021,0.007460526315789475,0.743004225534436,181.4377378725405,0.7121206988260071,166.28360442481014,PO,945408,152,2020-03-25
Salamanca,0.2765454986162199,0.21718200443791782,3.950220249504395,3.0077276938452133,2020-04-03,0.095,0.0354863813229572,0.74684955854665,38.02161332964972,0.6675230932486593,30.4772886070055,SA,329245,517,2020-03-27
Santa Cruz de Tenerife,,,,,2020-03-26,0.024,0.0054,,,,,TF,1044887,120,2020-03-25
Cantabria,,,,,2020-04-02,0.037000000000000005,0.01256603773584906,,,,,S,582905,212,2020-04-06
Segovia,0.2607885273260206,0.2270905985786453,3.678362248908762,3.15012820468055,2020-03-29,0.124,0.03648877805486284,0.7281398806502366,35.039750388546445,0.6825526026165628,30.869191107338587,SG,153478,406,2020-03-26
Sevilla,0.25124463798353003,0.22886898167331737,3.5216027748974543,3.1762860829666284,2020-04-04,0.027000000000000003,0.012568965517241381,0.7160383882224993,99.5299018246571,0.6851668981069844,91.37062608772824,SE,1950219,291,2020-03-24
Soria,,0.19651268129855523,,2.7282877441901623,2020-03-30,0.14400000000000002,0.0445560538116592,,,0.6334697459498246,22.020452796361432,SO,88884,224,2020-03-26
Tarragona,0.23647549705593768,0.11878245629675387,3.290273706576114,1.8664473308557945,2020-04-11,0.015,0.007455357142857143,0.696073916889848,159.15074742008312,0.46422275974887284,83.39073219970372,T,816772,341,2020-03-26
Teruel,,,,,2020-04-08,0.049,0.022650943396226416,,,,,TE,134176,110,2020-03-27
Toledo,0.2041923633492409,0.20450284542477964,2.829404619151822,2.833559093276648,2020-03-28,0.086,0.022888888888888886,0.6465687539946929,44.91775011533529,0.6470869436346823,44.98111655701549,TO,703772,786,2020-03-24
Valencia/València,0.23665527667309694,0.22275201871429526,3.2930095082598436,3.0870837366342294,2020-03-28,0.02,0.004319119669876204,0.6963264158540375,275.3399668127751,0.6760696873450297,260.42130958966294,V,2591875,730,2020-03-24
Valladolid,0.22426831591182209,0.229771924194627,3.1089935796664427,3.1896381471643447,2020-04-09,0.07400000000000001,0.03034137291280149,0.6783525039934988,36.81450434402503,0.6864848130534741,37.645644015872676,VA,520649,545,2020-03-27
Bizkaia,0.17884562497041068,0.26954303247521133,2.5073191518683062,3.827359434237819,2020-04-06,0.036000000000000004,0.014457013574660635,0.6011676458280714,63.12185005136502,0.7387232588989541,92.16631404882538,BI,1159443,889,2020-03-24
Zamora,,0.17336780741493296,,2.4419915958438723,2020-04-14,0.073,0.04015,,,0.5904981811968797,21.787504043699474,ZA,170588,140,2020-03-26
Zaragoza,0.18133350386284672,0.21506611235720283,2.537478581279921,2.978042725199626,2020-04-08,0.047,0.02130311614730878,0.605908003568017,43.243292687691586,0.6642089814433514,50.67807318585038,Z,972528,729,2020-03-27
