place,r_deaths,r_adm,R_deaths,R_adm,peak_deaths,sero,attack_at_peak,textbook_deaths,lam_deaths,textbook_adm,lam_adm,code,pop,deaths,adm_peak
Araba/Álava,0.18256610209037313,0.16618847988021856,2.5525352458500157,2.358577789213849,2020-04-01,0.064,0.03164835164835165,0.6082326378741181,29.138293798485595,0.5760156800538193,26.680945803512166,VI,333940,366,2020-03-23
Albacete,0.18388395226046253,0.19199311165400532,2.5687176485049914,2.6702350525277625,2020-04-01,0.10800000000000001,0.045811900191938586,0.610700693171939,20.117661191875186,0.6255011336723499,20.94419167005066,AB,388270,525,2020-03-29
Alicante/Alacant,0.19829277293936504,0.20669709493653027,2.7514466514792963,2.8630685569901164,2020-04-02,0.03,0.014788732394366197,0.6365548285436111,67.93173214481702,0.650724395837982,70.6008155512231,A,1879888,504,2020-03-24
Almería,,0.27555770907191107,,3.932687696688729,2020-04-09,0.034,0.022230769230769235,,,0.7457209732565373,60.90862118669459,AL,727945,52,2020-03-25
Ávila,0.3062124363340883,0.1940014540614527,4.5088485431892025,2.695900055632054,2020-04-07,0.08,0.037037037037037035,0.7782138853365256,39.90537150790011,0.6290663676827033,26.277782256172998,AV,157664,220,2020-03-30
Badajoz,,0.293463630762053,,4.261040217705465,2020-04-09,0.027000000000000003,0.014400000000000003,,,0.7653155218191083,99.93413802675437,BA,672137,90,2020-03-25
"Balears, Illes",0.20443111173905085,0.193078584484016,2.8325987822396437,2.684080479180129,2020-03-30,0.013999999999999999,0.0032831858407079643,0.6469672986269759,316.60846623968854,0.6274329299151802,300.23171258347526,PM,1171543,230,2020-03-27
Barcelona,0.24327095251848227,0.2304203906189983,3.3950445304315546,3.199256756276054,2020-03-30,0.073,0.02137287224511736,0.7054530534028409,56.57674919567123,0.687427400742914,53.827408105304634,B,5743402,5628,2020-03-25
Burgos,,0.14846969572451646,,2.1630535385772625,2020-04-01,0.057,0.017120141342756183,,,0.5376905924123612,44.67823030813878,BU,357650,289,2020-03-25
Cáceres,0.2455231784863251,0.29220228949331795,3.4303916378862556,4.237167858224488,2020-03-30,0.039,0.012170212765957446,0.7084880953662243,100.6685910332733,0.7639933008415124,117.91830836643463,CC,391850,424,2020-03-23
Cádiz,,0.25802347333120984,,3.6323446018548546,2020-04-05,0.026000000000000002,0.00816279069767442,,,0.724695724219186,157.37346309432408,CA,1244049,173,2020-03-26
