fips,pop,peak,r,R,attack_start,attack,hit_hom,lam,peak_deaths,npts,rise_start,rise_end,season
01015,113605,2021-02-07,0.02607786911425905,1.1525182592289303,0.11267109722283351,0.21742000792218652,0.23009557924850887,1.1299937960349793,19.0,4,2020-12-06,2020-12-27,winter 2020-21
01049,71513,2021-01-24,0.10062622978371025,1.7027590559009729,0.08809587068085523,0.15102149259575182,0.4644549819547821,7.4439513600743785,25.0,3,2021-01-03,2021-01-17,winter 2020-21
01055,102268,2021-01-24,0.11222976425813577,1.8058868944301152,0.09093753666836156,0.17894160441193724,0.49661162826118643,5.804893911050653,46.333333333333336,3,2020-12-27,2021-01-10,winter 2020-21
01073,658573,2021-01-24,0.034194373595168706,1.2038647713766162,0.07592172773557372,0.1529063596594455,0.2324069162620771,2.132964125715687,114.66666666666667,6,2020-11-29,2021-01-03,winter 2020-21
01083,98915,2021-01-24,0.07543233387495066,1.4960305709877344,0.05863620280038417,0.08188849011777789,0.3707589835025278,16.105643228601625,15.333333333333334,3,2021-01-03,2021-01-17,winter 2020-21
01095,96774,2021-01-31,0.04045681963719976,1.2448059610281768,0.08886684440035547,0.15706698080062825,0.26805206263065084,2.814592507700212,23.666666666666668,3,2021-01-03,2021-01-17,winter 2020-21
01097,413210,2020-05-10,0.08449885836938678,1.567805292504165,0.00024200769584472784,0.020570654146801867,0.3623200552491441,21.889386756271907,20.0,4,2020-03-29,2020-04-19,spring 2020
01097,413210,2020-07-26,0.08834018765349487,1.5990903920382469,0.032671038939038256,0.04356138525205101,0.3950754967466371,41.46213936374841,17.333333333333332,3,2020-06-28,2020-07-12,summer 2020
01097,413210,2020-08-09,0.08834018765349487,1.5990903920382469,0.032671038939038256,0.0513056315190823,0.3950754967466371,24.13307337777532,17.333333333333332,3,2020-06-28,2020-07-12,summer 2020
01101,226486,2021-02-07,0.0635919440863719,1.4065371850790886,0.12009572335596902,0.18676651095431945,0.37441804882353347,4.329353166667954,44.0,4,2020-12-27,2021-01-17,winter 2020-21
01117,217702,2021-01-31,0.08357651804644602,1.560371778602648,0.04823106815738946,0.07441364801425802,0.3900370764876666,15.950041586194304,24.333333333333332,3,2021-01-03,2021-01-17,winter 2020-21
01127,63521,2020-07-12,0.06219467371645952,1.3962844436405497,0.0047228475622235165,0.05037704066371751,0.2871959886319595,7.109062890450591,12.666666666666666,4,2020-06-07,2020-06-28,summer 2020
01127,63521,2021-01-17,0.01441815589705571,1.082036568957597,0.15113112199115253,0.27392515860896394,0.21548965870291859,0.5046025762601782,15.0,6,2020-11-22,2020-12-27,winter 2020-21
04001,71887,2020-07-05,0.08233425070988479,1.5504074401104786,0.00834643259560143,0.12797863313255525,0.36039163528927887,3.4109997355052286,12.666666666666666,3,2020-05-03,2020-05-17,summer 2020
04001,71887,2021-02-07,0.03608183777583224,1.2160812688388234,0.2726501314563134,0.45348950436101104,0.4018904104672236,0.6843827498649361,19.0,5,2020-11-29,2020-12-27,winter 2020-21
04001,71887,2021-02-21,0.03608183777583224,1.2160812688388234,0.2726501314563134,0.5077413162324204,0.4018904104672236,0.501106516551113,19.0,5,2020-11-29,2020-12-27,winter 2020-21
04003,125922,2021-01-10,0.03872605897121339,1.233373833070876,0.06273725004367783,0.1302393545210527,0.24008218366145417,2.806230102921788,24.0,5,2020-11-29,2020-12-27,winter 2020-21
04013,4485414,2020-07-26,0.03862917399578108,1.2327365421479168,0.010924298180725347,0.04030843083826822,0.19765848743648684,6.937798727279215,322.6666666666667,5,2020-06-07,2020-07-05,summer 2020
