region,study,n_sero,icu,r_icu,R,icu_peak,sero_mean,attack_at_peak,textbook,lam
Skåne,FHM_outpatient,8,176,0.09902102579427793,1.6888968501134713,2020-04-08,0.026624999999999996,0.011640625006712042,0.4078975279438686,44.75870736834187
Stockholm,FHM_outpatient,8,1238,0.20325058760436937,2.816834792455735,2020-04-04,0.09024999999999998,0.030535200974180953,0.644991604520692,33.39492617531604
Västra Götaland,FHM_outpatient,8,697,0.11147483916176201,1.7990189162218555,2020-04-25,0.0395,0.028983472999826863,0.44414147567713524,19.966192639471807
Stockholm,CastroDopico2021_Bayes,9,1238,0.20325058760436937,2.816834792455735,2020-04-04,0.05955555555555555,0.023041992130269303,0.644991604520692,44.424812572142606
