place,r_adm,R_adm,r_deaths,R_deaths,adm_peak,death_peak,seroconv,peak_after_sero,depletion_at_peak,textbook,lam
Araba/Álava,0.09700882029665678,1.6716561224190851,,,2020-11-08,2020-12-13,0.033,True,0.03817164179104478,0.40179084287210864,13.202068722589395
Albacete,0.02364023409149895,1.1374675611942577,0.05949350878107899,1.3766450229562583,2020-11-08,2020-11-22,0.043,False,0.037680412371134016,0.12085404971894487,3.353522726022865
Alicante/Alacant,0.0453113647536294,1.2773557552799584,0.03516592082217919,1.2101398925091333,2020-11-15,2020-11-22,0.022000000000000002,False,0.018164102564102565,0.21713274014189587,13.353928014075672
Almería,0.017831743741742474,1.102279244487291,0.05973200172861569,1.3783694874621444,2020-11-29,2020-11-22,0.024,False,0.02119298245614035,0.09278886906272532,4.546056963064162
Ávila,,,,,2020-11-08,2020-11-15,0.053,False,0.04336363636363637,,
Badajoz,,,,,2020-11-01,2020-11-08,0.028999999999999998,False,0.0197,,
"Balears, Illes",,,,,2020-12-20,2020-12-27,0.023,True,0.030973333333333332,,
Barcelona,0.014444698703777247,1.0821927348822575,0.035213703291875564,1.2104492339302397,2020-11-08,2020-11-08,0.040999999999999995,False,0.026294536817102136,0.07595018173098356,2.9643491367642896
Burgos,0.035061442322878125,1.2094637389570941,0.052108201766487235,1.3241485665145996,2020-11-08,2020-11-22,0.051,False,0.04285551330798479,0.173187283099295,4.341851034018003
Cáceres,,,,,2020-11-08,2020-11-29,0.063,False,0.063,,
Cádiz,0.029823019976187647,1.175973328445252,0.06763434338755285,1.4365620251036422,2020-11-15,2020-11-15,0.028999999999999998,False,0.02227936507936508,0.14964057788445373,7.194266450187817
Castellón/Castelló,0.03421422801102234,1.2039927301868933,,,2020-12-27,2021-01-03,0.05,True,0.09030612244897959,0.1694302009242431,1.9614255631738806
Ciudad Real,0.05339528026119098,1.3331723462173348,0.06166228000223591,1.3923947342456018,2020-09-20,2020-09-27,0.038,False,0.015473053892215568,0.24990943381225883,18.440497837801146
Córdoba,,,0.028808376839899192,1.1695789292929353,2020-11-08,2020-11-15,0.021,False,0.015573033707865171,,
"Coruña, A",,,0.021421021767202734,1.1239117917373467,2020-11-01,2020-11-15,0.017,False,0.012814070351758796,,
Cuenca,0.0359325110062215,1.2151109183720452,0.11129604414618224,1.7973955893615479,2020-11-08,2020-10-11,0.035,False,0.012857142857142859,0.17702986214644656,15.056233816069401
Girona,,,0.05890882416776202,1.3724251551098567,2020-11-08,2020-11-08,0.07,False,0.04113636363636364,,
Granada,0.05959089300399443,1.377348953666177,0.03965646459863913,1.2395082064413094,2020-11-08,2020-11-15,0.051,False,0.0368743961352657,0.27396757565449437,8.521380949153324
Guadalajara,0.04160156395769033,1.2524169267435836,0.052398001241283756,1.3261758022083883,2020-10-11,2020-11-29,0.049,False,0.049,0.2015438480218359,4.479892044559877
Gipuzkoa,0.03515762582591286,1.2100861979801867,0.02965556477704673,1.1749159534182148,2020-11-08,2020-11-22,0.03,False,0.025856777493606136,0.17361258919476286,7.279155189774834
Huelva,0.04752614139178228,1.2924456661957677,,,2020-11-08,2020-11-22,0.027000000000000003,False,0.023287500000000003,0.22627308353825282,10.887279178229457
Huesca,0.02597648599458397,1.1518889160789605,0.07852351095772382,1.5201795150555184,2020-11-01,2020-11-15,0.04,False,0.031148936170212766,0.13186073236644347,4.468506935245165
Jaén,0.0356055679297809,1.2129886963250427,0.05993062722428331,1.379807091472738,2020-11-08,2020-11-15,0.036000000000000004,False,0.02613559322033899,0.17559000918172485,7.290936416691697
León,0.060544988982666234,1.3842618059587137,,,2020-11-08,2020-10-25,0.02,False,0.008445945945945946,0.27759330229629586,38.336960110255504
Lleida,,,,,2020-11-15,2020-12-06,0.08199999999999999,True,0.09598156682027649,,
"Rioja, La",,,,,2020-11-08,2020-11-08,0.04,False,0.027845303867403314,,
Lugo,0.09902102579427784,1.6888968501134713,,,2020-09-06,2020-09-13,0.009000000000000001,False,0.003118811881188119,0.4078975279438686,167.77475279143252
Madrid,0.0693895721075395,1.4497684160409638,0.05671978765637209,1.356724108735276,2020-09-20,2020-10-04,0.055,False,0.024421577798565637,0.310234663043077,15.021552322277838
Málaga,,,0.02017249081617906,1.1163461429291424,2020-11-15,2020-11-29,0.026000000000000002,False,0.026000000000000002,,
Murcia,,,0.03269370556196215,1.194226744226599,2020-11-08,2020-11-15,0.035,False,0.027206477732793524,,
Navarra,0.035230066248158456,1.2105551824509033,0.04534360070857496,1.2775743039378848,2020-11-01,2020-11-15,0.071,False,0.05446575342465752,0.1739327421857887,3.411811438803923
Ourense,0.02837987370735067,1.1668873866400995,0.050349801028205535,1.3119046856475354,2020-10-25,2020-10-25,0.012,False,0.006888888888888889,0.14301927379696,22.32691300989153
Asturias,0.05968953600220236,1.3780622967251313,0.08823537681821288,1.5982297543124724,2020-11-15,2020-11-22,0.04,False,0.0307475317348378,0.2743434006021135,10.268228601201265
Palencia,0.03578965298064717,1.2141832220091546,0.038983044877277474,1.2350656008823682,2020-11-01,2020-11-08,0.05,False,0.031506849315068496,0.17640107203485944,6.062110457378658
"Palmas, Las",,,,,2020-09-06,2020-09-20,0.017,False,0.008326530612244898,,
Pontevedra,0.02325999781190463,1.1351350727410605,0.05324905401971434,1.3321445081776124,2020-11-08,2020-11-29,0.017,False,0.017,0.11904757062500404,7.392422518238717
Salamanca,0.04232642703455995,1.2572567884342376,,,2020-11-01,2020-11-01,0.042,False,0.024,0.20461753780197922,9.423911937113688
Santa Cruz de Tenerife,,,,,2020-12-13,2020-12-27,0.006,True,0.010214285714285714,,
Cantabria,0.02328578119670837,1.135293106864557,0.0784723063334366,1.5197767979859742,2020-11-08,2020-12-13,0.024,True,0.03316363636363637,0.11917020022979652,3.7624026551872003
Segovia,0.035534425428658895,1.2125273225117004,,,2020-10-18,2020-11-22,0.046,False,0.039428571428571424,0.17527631630721419,4.790493850669368
Sevilla,0.02916136440391501,1.1718001204583324,0.03882967475635597,1.2340557093956976,2020-11-01,2020-11-15,0.053,False,0.04119838056680162,0.1466121375641567,3.7684105811085638
Soria,,,,,2020-11-01,2020-11-15,0.028999999999999998,False,0.0235625,,
Tarragona,0.034772196254436935,1.2075935082297795,0.057017579772836405,1.3588509874919326,2020-11-15,2020-11-08,0.038,False,0.025006451612903227,0.17190677725163694,7.448522236475637
Teruel,,,,,2020-11-01,2020-11-15,0.07,False,0.053720930232558146,,
Toledo,0.05271726319280782,1.328412205516039,0.02493607300502715,1.1454474212137704,2020-11-01,2020-11-08,0.037000000000000005,False,0.0264635761589404,0.2472216109972153,10.588515292006047
Valencia/València,0.03487862091214588,1.2082813499630012,0.029948906286698402,1.1767687570302874,2021-01-03,2021-01-03,0.019,True,0.03340322580645161,0.17237818821699014,5.568957885444667
Valladolid,0.0347131766973095,1.2072121984027377,,,2020-11-08,2020-11-15,0.03,False,0.023812499999999997,0.17164521587580062,7.813653198763528
Bizkaia,0.02959752554131637,1.1745496614555127,,,2020-11-08,2020-12-13,0.033,True,0.04060958904109589,0.14860986059900538,3.880746077630952
Zamora,0.03184623300972656,1.1888130390736298,0.019520952499977314,1.1124153596817776,2020-11-01,2020-11-22,0.062,False,0.05267256637168141,0.15882483861445562,3.196337229683785
Zaragoza,,,0.038291806466087916,1.230519597349092,2020-11-01,2020-11-15,0.066,False,0.05437305699481866,,
Ceuta,,,0.07847230633343671,1.5197767979859742,2020-11-08,2020-11-15,0.069,False,0.055470588235294126,,
Melilla,0.03316645487592807,1.197255834986436,0.05189013003750764,1.3226248342491291,2020-11-01,2020-11-08,0.07400000000000001,False,0.05312820512820514,0.1647566286354083,3.297800678611989
