place,r_deaths,r_adm,R_deaths,R_adm,peak_deaths,sero,attack_at_peak,textbook_deaths,lam_deaths,textbook_adm,lam_adm
England: East Midlands,0.1635648680138508,,2.3287085314025457,,2020-04-11,0.042,0.01124443306885078,0.5705774310030483,74.75275417963324,,
England: East of England,0.17968762320262438,,2.5174918463851585,,2020-04-10,0.051,0.014236784795090081,0.6027792497378333,64.38779995253061,,
England: London,0.17294027164051393,,2.436954629337215,,2020-04-06,0.13,0.04961588007963462,0.5896517776894465,17.503752642992797,,
England: North East,0.24901830817410622,,3.4858675989618937,,2020-04-11,0.05,0.01326025459688826,0.71312737170574,93.54416119694095,,
England: North West,0.18957932032697614,,2.6396651631915278,,2020-04-13,0.066,0.021716617778344598,0.6211640726466479,44.209180230227155,,
England: South East,0.14418192183484072,,2.117877633671355,,2020-04-10,0.039,0.010779353062629043,0.5278291889477612,69.24002487362958,,
England: South West,0.16702149986921044,,2.368129726117779,,2020-04-13,0.027999999999999997,0.00929165235314325,0.5777258361435453,92.35053846274694,,
England: West Midlands,0.19085619886229677,,2.655798957001001,,2020-04-11,0.057999999999999996,0.020908128415300545,0.6234654745368126,46.2259747083294,,
England: Yorkshire and The Humber,0.17651516009387722,,2.479346269262645,,2020-04-18,0.039,0.01430081300813008,0.5966678747549857,63.03745140827627,,
Geneva,0.23582973173025448,,3.280462759362933,,2020-04-07,0.10800000000000001,0.05130000000000001,0.6951649589236,22.558387003709207,,
Manaus (excess deaths),0.08927057980625763,,1.6067475319489395,,2020-04-27,0.76,0.17416071428571428,0.37762468582290076,2.4781779253147955,,
