fips,pop,peak,r,R,attack_start,attack,hit_hom,lam,peak_deaths,npts,rise_start,rise_end,season
01015,113605,2021-02-07,0.02607786911425905,1.1525182592289303,0.16095871031833356,0.31060001131740933,0.27199306131339684,0.722615462258696,19.0,4,2020-12-06,2020-12-27,winter 2020-21
01049,71513,2021-01-24,0.10062622978371025,1.7027590559009729,0.12585124382979318,0.2157449894225026,0.4866280386876741,4.90479106492632,25.0,3,2021-01-03,2021-01-17,winter 2020-21
01055,102268,2021-01-24,0.11222976425813577,1.8058868944301152,0.12991076666908793,0.2556308634456247,0.5181928414151947,3.7873683820135224,46.333333333333336,3,2020-12-27,2021-01-10,winter 2020-21
01073,658573,2021-01-24,0.034194373595168706,1.2038647713766162,0.10845961105081961,0.2184376566563507,0.2594347719555691,1.4092580507404144,114.66666666666667,6,2020-11-29,2021-01-03,winter 2020-21
01083,98915,2021-01-24,0.07543233387495066,1.4960305709877344,0.08376600400054882,0.11698355731111128,0.38755663569460364,10.908137540024061,15.333333333333334,3,2021-01-03,2021-01-17,winter 2020-21
01095,96774,2021-01-31,0.04045681963719976,1.2448059610281768,0.12695263485765065,0.22438140114375466,0.2986478274724558,1.8506015888439304,23.666666666666668,3,2021-01-03,2021-01-17,winter 2020-21
01097,413210,2020-05-10,0.08449885836938678,1.567805292504165,0.0003457252797781826,0.029386648781145525,0.3623862098822669,15.252947357897915,20.0,4,2020-03-29,2020-04-19,spring 2020
01097,413210,2020-07-26,0.08834018765349487,1.5990903920382469,0.046672912770054656,0.06223055036007288,0.4038316458053337,28.530257213875192,17.333333333333332,3,2020-06-28,2020-07-12,summer 2020
01097,413210,2020-08-09,0.08834018765349487,1.5990903920382469,0.046672912770054656,0.07329375931297472,0.4038316458053337,16.575250277485825,17.333333333333332,3,2020-06-28,2020-07-12,summer 2020
01101,226486,2021-02-07,0.0635919440863719,1.4065371850790886,0.17156531907995573,0.26680930136331354,0.4110111771602669,2.793128168036032,44.0,4,2020-12-27,2021-01-17,winter 2020-21
01117,217702,2021-01-31,0.08357651804644602,1.560371778602648,0.0689015259391278,0.10630521144894003,0.40328421288502525,10.851615208016598,24.333333333333332,3,2021-01-03,2021-01-17,winter 2020-21
